Store_ID,Store_Name,License_Number,Address,Store_Type_ID,Zip_Code,Latitude,Longitude
1900,NICKY'S CHINESE FOOD,1299747,5231 S WOODLAWN AVE,1,60615,41.79995223,-87.59650592
1901,FARMERS PRIDE PRODUCE,2642320,756 N WESTERN AVE,2,60612,41.89563205,-87.68698687
1902,COUNTY FAIR FOODS,37096,10800 S WESTERN AVE,2,60643,41.69723821,-87.6814748
1903,MC DONALD'S,2684263,207 E 35TH ST,1,60616,41.83095279,-87.62144916
1904,BILLY'S GYROS,2079621,7855 S Cottage Grove AVE,1,60619,41.75149187,-87.60506523
1905,FITNESS FORMULA CLUBS - GOLD COAST,37882,1030 N CLARK ST,1,60610,41.90153198,-87.63152607
1906,"GOLDEN HOOK FISH, CHICKEN, STEAK & BEEF, INC.",2432754,4800 W FULTON ST,1,60644,41.88585156,-87.74553253
1907,DUNKIN DONUTS,2050066,1201 N CLARK ST,1,60610,41.90399738,-87.63130111
1908,MR. CAPTAIN HOOK FISH AND CHICKEN AND  GRILL,2671718,4355 S COTTAGE GROVE AVE,1,60653,41.81519729,-87.60653089
1909,MINGHIN CUISINE KITCHEN,2437382,3376-3378 S ARCHER AVE,9,60608,41.83264971,-87.67419338
1910,LADY GREGORY'S,2017268,5254-5260 N CLARK ST,1,60640,41.97785952,-87.66850101
1911,HUTCHINSON COMMONS FOOD COURT/ EINSTEIN BAGEL,33342,5700 S UNIVERSITY AVE,1,60637,41.79133584,-87.59822018
1912,JOE'S FOOD AND LIQUOR DEPOT,2621212,5834-5838 W FULLERTON,2,60639,41.92399183,-87.77228911
1913,EXPERANCA,2631158,6651 N CLARK ST,1,60626,42.00320571,-87.67222279
1914,FAMILY DOLLAR #1860,1145495,13319 S BRAINARD AVE,2,60633,41.65327599,-87.55198842
1915,LUCIANO'S GROCERY-18TH ST,1380524,1714 W 18TH ST,2,60608,41.85785657,-87.6694196
1916,North Branch Fried Chicken,2732763,5481 N NORTHWEST HWY,1,60630,41.98038356,-87.7774766
1917,RUBYS RESTAURANT GROUP,2732862,3944 W CHICAGO AVE,1,60651,41.89548303,-87.72538177
1918,LA CHOZA MEXICAN GRILL,1840862,7022 N CLARK ST,1,60626,42.00969798,-87.67427432
1919,TROPI CUBA,1422721,3000 W LYNDALE ST,1,60647,41.92249267,-87.70235877
1920,PRITZKER COLLEGE PREP CHARTER,2202619,4131 W Cortland ST,23,60639,41.91518673,-87.73010225
1921,CIALES POULTRY,6876,2141 W ARMITAGE AVE,2,60647,41.9175642,-87.68171694
1922,KIDZ CREATIVE CORNER,2555611,4259 N WESTERN AVE,6,60618,41.95944802,-87.68848155
1923,UNIVERSITY OF CHICAGO (THE PUB),33347,1212 E 59TH ST,1,60637,41.78792148,-87.59580626
1924,WEST SIDE FOOD MART INC.,2636284,617 N CICERO AVE,2,60644,41.89192049,-87.74555147
1925,HAPPY FISH & CHICKEN,2698734,5-7 S CICERO AVE,1,60644,41.88031246,-87.74512375
1926,R J GRUNTS,853,2054-2056 N LINCOLN PARK WEST,1,60614,41.92003078,-87.63654555
1927,TONY'S FINER FOODS,1717532,4608 W BELMONT AVE,2,60641,41.93899382,-87.74269899
1928,OLD FASHIONED DONUTS INC,3787,11248 S MICHIGAN AVE,1,60628,41.68934157,-87.62115636
1929,Gallery Food Express,1474228,10701 S WENTWORTH AVE,2,60628,41.69977059,-87.62794016
1930,MORRY'S DELI,22181,5500 S CORNELL AVE,1,60637,41.79511921,-87.58555526
1931,HAROLD'S CHICKEN,2405444,124 E 35TH ST.,1,60616,41.83116513,-87.62210905
1932,DARK MATTER COFFEE,2292935,736-738 N WESTERN AVE,1,60612,41.8949973,-87.68697066
1933,LA BAGUETTE NORTH,1649172,5712 N CLARK ST,5,60660,41.98582639,-87.66944491
1934,KENTUCKY FRIED CHICKEN,2483753,7508 S LAFAYETTE AVE,1,60620,41.75784542,-87.62651095
1935,EMERALD CITY COFFEE,2488960,1224 W WILSON AVE,1,60640,41.96546092,-87.66064093
1936,BLUE DOOR FARM STAND TOO,2428971,711 W ARMITAGE AVE,1,60614,41.91809714,-87.64658724
1937,LA BAGUETTE BAKERY,2203506,3313 N MILWAUKEE AVE,5,60641,41.94132812,-87.72727788
1938,SIP & SAVOR,2637321,78 E 47TH ST,1,60653,41.80939584,-87.62291958
